		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.240234	M = 131	N = 8	m = 9	n = 1050
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110011000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 104
110011010    1    0    0    1    0    0    0    0  6.067021 0.639725 SUCCESS 105
110100000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 106
110100010    1    2    0    1    1    0    0    2 32.738870 0.000069 FAILURE 107
110100100    0    0    1    0    2    1    2    1 32.738870 0.000069 FAILURE 108
110101000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 109
110101010    0    1    0    1    0    0    2    1 20.453080 0.008751 FAILURE 110
110101100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 111
110110000    0    0    1    0    0    0    0    1  6.067021 0.639725 SUCCESS 112
110110010    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 113
110110100    0    0    1    1    0    1    1    0 10.267561 0.246747 SUCCESS 114
110111000    0    1    0    1    0    1    0    0  8.167291 0.417302 SUCCESS 115
110111010    0    0    0    0    1    0    0    1  6.067021 0.639725 SUCCESS 116
110111100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 117
111000000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 118
111000010    0    0    0    0    0    1    0    0  3.966751 0.860111 SUCCESS 119
111000100    0    0    0    0    0    0    0    1  3.966751 0.860111 SUCCESS 120
111000110    1    0    0    2    0    0    1    0 18.352811 0.018731 SUCCESS 121
111001000    0    0    0    0    1    0    0    0  3.966751 0.860111 SUCCESS 122
111001010    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 123
111001100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 124
111010000    1    1    0    0    0    1    0    0  8.167291 0.417302 SUCCESS 125
111010010    0    0    0    0    2    1    0    0 16.252541 0.038905 SUCCESS 126
111010100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 127
111010110    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 128
111011000    0    0    1    0    0    0    0    0  3.966751 0.860111 SUCCESS 129
111011010    1    0    1    1    1    1    1    0 14.468101 0.070351 SUCCESS 130
111011100    0    1    1    1    0    1    0    0 10.267561 0.246747 SUCCESS 131
111100000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 132
111100010    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS 133
111100100    0    0    1    0    1    0    0    0  6.067021 0.639725 SUCCESS 134
111100110    0    0    0    1    0    0    0    0  3.966751 0.860111 SUCCESS 135
111101000    1    1    0    1    0    1    0    0 10.267561 0.246747 SUCCESS 136
111101010    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 137
111101100    0    0    1    0    1    0    0    0  6.067021 0.639725 SUCCESS 138
